
train 	Epoch 0/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.69590 	  acc_ave: 0.52448 	  

train 	Epoch 1/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.70685 	  acc_ave: 0.50729 	  

train 	Epoch 2/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.70006 	  acc_ave: 0.50625 	  

train 	Epoch 3/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.69799 	  acc_ave: 0.50833 	  

train 	Epoch 4/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.71919 	  acc_ave: 0.50104 	  

train 	Epoch 5/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.71782 	  acc_ave: 0.49271 	  

train 	Epoch 0/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.68404 	  acc_ave: 0.54112 	  

test 	Epoch 0/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.63738 	  acc_ave: 0.65605 	  

train 	Epoch 1/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.58880 	  acc_ave: 0.68965 	  

test 	Epoch 1/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.53221 	  acc_ave: 0.73438 	  

train 	Epoch 2/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.48523 	  acc_ave: 0.76758 	  

test 	Epoch 2/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.51087 	  acc_ave: 0.75260 	  

train 	Epoch 3/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.38251 	  acc_ave: 0.82853 	  

test 	Epoch 3/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.51971 	  acc_ave: 0.75240 	  

train 	Epoch 4/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.24744 	  acc_ave: 0.90139 	  

test 	Epoch 4/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.62896 	  acc_ave: 0.74079 	  

train 	Epoch 5/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.11329 	  acc_ave: 0.96204 	  

test 	Epoch 5/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.87603 	  acc_ave: 0.74740 	  

train 	Epoch 6/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.05625 	  acc_ave: 0.98097 	  

test 	Epoch 6/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.97470 	  acc_ave: 0.74339 	  

train 	Epoch 7/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.02678 	  acc_ave: 0.99169 	  

test 	Epoch 7/300 	 Learning rate: 0.00100 	 Train loss_ave: 1.41389 	  acc_ave: 0.72857 	  

train 	Epoch 8/300 	 Learning rate: 0.00100 	 Train loss_ave: 0.03089 	  acc_ave: 0.98983 	  

test 	Epoch 8/300 	 Learning rate: 0.00100 	 Train loss_ave: 1.38965 	  acc_ave: 0.73658 	  

